Lys=calc,TvA=calc,Avvik_IIR_Derivert=calc,Referanse=calc,HastighetMotorD=meas,MAElist=calc,Avvik=calc,TvD=calc,IAElist=calc,abs_Avvik=calc,VinkelPosMotorA=meas,HastighetMotorA=meas,Avvik_IIR=calc,PowerA=calc,Avstand=meas,VinkelPosMotorD=meas,Power=calc,Ts=calc,PowerD=calc,Tid=meas,Avvik_Integrert=calc
No specified init-data
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0045511722564697266,0,0.7604970932006836,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0054779052734375,0,0.7659749984741211,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006459951400756836,0,0.7724349498748779,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007580995559692383,0,0.7800159454345703,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0062410831451416016,0,0.7862570285797119,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.00775909423828125,0,0.7940161228179932,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005939960479736328,0,0.7999560832977295,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007925033569335938,0,0.8078811168670654,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0033388137817382812,0,0.8112199306488037,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0072400569915771484,0,0.8184599876403809,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005646944046020508,0,0.8241069316864014,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005956172943115234,0,0.8300631046295166,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.010890007019042969,0,0.8409531116485596,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006999015808105469,0,0.847952127456665,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0052869319915771484,0,0.8532390594482422,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0068280696868896484,0,0.8600671291351318,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.00957489013671875,0,0.8696420192718506,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007148027420043945,0,0.8767900466918945,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.004366874694824219,0,0.8811569213867188,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006226062774658203,0,0.887382984161377,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005124092102050781,0,0.8925070762634277,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007326841354370117,0,0.8998339176177979,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.00401616096496582,0,0.9038500785827637,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.00506591796875,0,0.9089159965515137,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005609035491943359,0,0.914525032043457,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006409883499145508,0,0.9209349155426025,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006838083267211914,0,0.9277729988098145,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006411075592041016,0,0.9341840744018555,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005911827087402344,0,0.9400959014892578,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.008134126663208008,0,0.9482300281524658,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.004755973815917969,0,0.9529860019683838,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005413055419921875,0,0.9583990573883057,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005594968795776367,0,0.963994026184082,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.009730100631713867,0,0.9737241268157959,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006117820739746094,0,0.979841947555542,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006406068801879883,0,0.9862480163574219,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.004606962203979492,0,0.9908549785614014,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006788969039916992,0,0.9976439476013184,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0049991607666015625,0,1.00264310836792,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.010542869567871094,0,1.013185977935791,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0047609806060788795,0,1.01794695854187,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.00527501106262207,0,1.023221969604492,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006425142288208008,0,1.0296471118927,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007598876953125,0,1.037245988845825,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.003567934036255105,0,1.04081392288208,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006504058837890847,0,1.047317981719971,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007216930389404075,0,1.054534912109375,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006323099136352983,0,1.060858011245728,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0065081119537349075,0,1.067366123199463,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.00560998916626021,0,1.072976112365723,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0058388710021968215,0,1.07881498336792,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006292104721069114,0,1.085107088088989,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006649971008301003,0,1.09175705909729,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0068359375,0,1.09859299659729,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.004435062408447044,0,1.103028059005737,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0053310394287109375,0,1.108359098434448,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005728006362915039,0,1.114087104797363,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006464004516602007,0,1.120551109313965,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005749940872191939,0,1.126301050186157,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.00660490989685103,0,1.132905960083008,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.004893064498900923,0,1.137799024581909,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005307912826538086,0,1.143106937408447,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006042957305907981,0,1.149149894714355,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.008226156234741877,0,1.157376050949097,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0036668777465820312,0,1.161042928695679,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0067391395568840995,0,1.167782068252563,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.00514888763427801,0,1.172930955886841,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0059490203857419655,0,1.178879976272583,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006767988204956055,0,1.185647964477539,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005275964736938921,0,1.190923929214478,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0063140392303460136,0,1.197237968444824,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.004815101623534934,0,1.202053070068359,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007148981094361018,0,1.20920205116272,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.00665187835693315,0,1.215853929519653,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0070400238037109375,0,1.222893953323364,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.004935026168823908,0,1.227828979492188,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0054459571838370024,0,1.233274936676025,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.00950407981872603,0,1.242779016494751,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0059239864349369675,0,1.248703002929688,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007148027420043057,0,1.255851030349731,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.00484800338745206,0,1.260699033737183,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005627870559691939,0,1.266326904296875,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006313085556030051,0,1.272639989852905,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006114959716796875,0,1.278754949569702,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.008485078811646174,0,1.287240028381348,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0033860206603999465,0,1.290626049041748,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0056760311126708984,0,1.296302080154419,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006047964096069114,0,1.302350044250488,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006458997726440874,0,1.308809041976929,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005112886428833008,0,1.313921928405762,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006676197052001953,0,1.320598125457764,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007194995880127175,0,1.327793121337891,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005143880844115989,0,1.332937002182007,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007445096969604048,0,1.340382099151611,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007759809494018999,0,1.34814190864563,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.004720211029052956,0,1.352862119674683,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.0055298805236809745,0,1.358392000198364,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005445957183837891,0,1.363837957382202,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.006241083145142046,0,1.370079040527344,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.007767915725708008,0,1.377846956253052,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.004898071289062056,0,1.382745027542114,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005629062652587891,0,1.388374090194702,0
,0,0,175,0,0,0,0,0,0,0,0,0,0,175,0,0,0.005628824234009011,0,1.394002914428711,0
