Power=calc,e_d=calc,Referanse=calc,PowerD=calc,Tid=meas,Avstand=meas,Ts=calc,e_i=calc,e_f=calc,PowerA=calc,e_k=calc
No specified init-data
0,0,220,0,0.6657559871673584,220,0.005740165710449219,0,0,0,0
0,0,220,0,0.6727828979492188,220,0.0070269107818603516,0,0,0,0
0,0,220,0,0.6769189834594727,220,0.004136085510253906,0,0,0,0
0,0,220,0,0.6821749210357666,220,0.005255937576293945,0,0,0,0
0,0,220,0,0.6882319450378418,220,0.006057024002075195,0,0,0,0
0,0,220,0,0.695580005645752,220,0.007348060607910156,0,0,0,0
0,0,220,0,0.6993889808654785,220,0.0038089752197265625,0,0,0,0
0,0,220,0,0.7055540084838867,220,0.006165027618408203,0,0,0,0
0,0,220,0,0.7103159427642822,220,0.004761934280395508,0,0,0,0
0,0,220,0,0.717289924621582,220,0.006973981857299805,0,0,0,0
0,0,220,0,0.7239348888397217,220,0.0066449642181396484,0,0,0,0
0,0,220,0,0.7278308868408203,220,0.003895998001098633,0,0,0,0
0,0,220,0,0.733569860458374,220,0.005738973617553711,0,0,0,0
0,0,220,0,0.7387018203735352,220,0.005131959915161133,0,0,0,0
0,0,220,0,0.748647928237915,220,0.009946107864379883,0,0,0,0
0,0,220,0,0.7537188529968262,220,0.005070924758911133,0,0,0,0
0,0,220,0,0.7594518661499023,220,0.005733013153076172,0,0,0,0
